Route,Departing Port,Arriving Port,Airline,Month,Sectors Scheduled,Sectors Flown,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed,"OnTime Departures 
(%)","OnTime Arrivals 
(%)","Cancellations 

(%)"
Adelaide-Brisbane,Adelaide,Brisbane,Jetstar,Jan-23, 32, 30, 2, 20, 21, 10, 9,66.7,70.0,6.3
Adelaide-Gold Coast,Adelaide,Gold Coast,Jetstar,Jan-23, 31, 31, 0, 25, 25, 6, 6,80.6,80.6,0.0
Adelaide-Melbourne,Adelaide,Melbourne,Jetstar,Jan-23, 111, 103, 8, 54, 64, 49, 39,52.4,62.1,7.2
Adelaide-Perth,Adelaide,Perth,Jetstar,Jan-23, 31, 29, 2, 26, 28, 3, 1,89.7,96.6,6.5
Adelaide-Sydney,Adelaide,Sydney,Jetstar,Jan-23, 122, 108, 14, 91, 87, 17, 21,84.3,80.6,11.5
Ballina-Sydney,Ballina,Sydney,Jetstar,Jan-23, 91, 90, 1, 71, 62, 19, 28,78.9,68.9,1.1
Brisbane-Adelaide,Brisbane,Adelaide,Jetstar,Jan-23, 32, 30, 2, 18, 17, 12, 13,60.0,56.7,6.3
Brisbane-Cairns,Brisbane,Cairns,Jetstar,Jan-23, 89, 85, 4, 60, 63, 25, 22,70.6,74.1,4.5
Brisbane-Canberra,Brisbane,Canberra,Jetstar,Jan-23, 30, 30, 0, 27, 27, 3, 3,90.0,90.0,0.0
Brisbane-Darwin,Brisbane,Darwin,Jetstar,Jan-23, 24, 24, 0, 15, 19, 9, 5,62.5,79.2,0.0
Brisbane-Hobart,Brisbane,Hobart,Jetstar,Jan-23, 31, 31, 0, 22, 24, 9, 7,71.0,77.4,0.0
Brisbane-Launceston,Brisbane,Launceston,Jetstar,Jan-23, 31, 31, 0, 16, 15, 15, 16,51.6,48.4,0.0
Brisbane-Mackay,Brisbane,Mackay,Jetstar,Jan-23, 30, 30, 0, 23, 25, 7, 5,76.7,83.3,0.0
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,Jan-23, 164, 142, 22, 91, 98, 51, 44,64.1,69.0,13.4
Brisbane-Newcastle,Brisbane,Newcastle,Jetstar,Jan-23, 60, 60, 0, 47, 48, 13, 12,78.3,80.0,0.0
Brisbane-Perth,Brisbane,Perth,Jetstar,Jan-23, 25, 24, 1, 12, 20, 12, 4,50.0,83.3,4.0
Brisbane-Proserpine,Brisbane,Proserpine,Jetstar,Jan-23, 37, 33, 4, 25, 26, 8, 7,75.8,78.8,10.8
Brisbane-Sydney,Brisbane,Sydney,Jetstar,Jan-23, 170, 145, 25, 95, 99, 50, 46,65.5,68.3,14.7
Brisbane-Townsville,Brisbane,Townsville,Jetstar,Jan-23, 50, 49, 1, 40, 40, 9, 9,81.6,81.6,2.0
Cairns-Brisbane,Cairns,Brisbane,Jetstar,Jan-23, 89, 86, 3, 60, 54, 26, 32,69.8,62.8,3.4
Cairns-Melbourne,Cairns,Melbourne,Jetstar,Jan-23, 95, 91, 4, 47, 52, 44, 39,51.6,57.1,4.2
Cairns-Sydney,Cairns,Sydney,Jetstar,Jan-23, 95, 88, 7, 59, 71, 29, 17,67.0,80.7,7.4
Canberra-Brisbane,Canberra,Brisbane,Jetstar,Jan-23, 31, 31, 0, 24, 24, 7, 7,77.4,77.4,0.0
Canberra-Gold Coast,Canberra,Gold Coast,Jetstar,Jan-23, 17, 17, 0, 9, 10, 8, 7,52.9,58.8,0.0
Canberra-Melbourne,Canberra,Melbourne,Jetstar,Jan-23, 31, 29, 2, 9, 12, 20, 17,31.0,41.4,6.5
Darwin-Brisbane,Darwin,Brisbane,Jetstar,Jan-23, 23, 23, 0, 13, 11, 10, 12,56.5,47.8,0.0
Darwin-Melbourne,Darwin,Melbourne,Jetstar,Jan-23, 24, 24, 0, 9, 7, 15, 17,37.5,29.2,0.0
Darwin-Sydney,Darwin,Sydney,Jetstar,Jan-23, 24, 24, 0, 11, 15, 13, 9,45.8,62.5,0.0
Gold Coast-Adelaide,Gold Coast,Adelaide,Jetstar,Jan-23, 31, 31, 0, 22, 23, 9, 8,71.0,74.2,0.0
Gold Coast-Canberra,Gold Coast,Canberra,Jetstar,Jan-23, 17, 17, 0, 8, 10, 9, 7,47.1,58.8,0.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Jetstar,Jan-23, 227, 202, 25, 118, 120, 84, 82,58.4,59.4,11.0
Gold Coast-Sydney,Gold Coast,Sydney,Jetstar,Jan-23, 294, 266, 28, 196, 187, 70, 79,73.7,70.3,9.5
Hamilton Island-Sydney,Hamilton Island,Sydney,Jetstar,Jan-23, 26, 26, 0, 7, 7, 19, 19,26.9,26.9,0.0
Hobart-Brisbane,Hobart,Brisbane,Jetstar,Jan-23, 31, 31, 0, 21, 21, 10, 10,67.7,67.7,0.0
Hobart-Melbourne,Hobart,Melbourne,Jetstar,Jan-23, 211, 188, 23, 94, 104, 94, 84,50.0,55.3,10.9
Hobart-Sydney,Hobart,Sydney,Jetstar,Jan-23, 94, 92, 2, 69, 71, 23, 21,75.0,77.2,2.1
Launceston-Brisbane,Launceston,Brisbane,Jetstar,Jan-23, 31, 31, 0, 10, 14, 21, 17,32.3,45.2,0.0
Launceston-Melbourne,Launceston,Melbourne,Jetstar,Jan-23, 151, 138, 13, 67, 78, 71, 60,48.6,56.5,8.6
Launceston-Sydney,Launceston,Sydney,Jetstar,Jan-23, 72, 70, 2, 53, 52, 17, 18,75.7,74.3,2.8
Mackay-Brisbane,Mackay,Brisbane,Jetstar,Jan-23, 31, 31, 0, 22, 21, 9, 10,71.0,67.7,0.0
Melbourne-Adelaide,Melbourne,Adelaide,Jetstar,Jan-23, 111, 103, 8, 54, 54, 49, 49,52.4,52.4,7.2
Melbourne-Brisbane,Melbourne,Brisbane,Jetstar,Jan-23, 163, 141, 22, 67, 72, 74, 69,47.5,51.1,13.5
Melbourne-Cairns,Melbourne,Cairns,Jetstar,Jan-23, 95, 91, 4, 52, 58, 39, 33,57.1,63.7,4.2
Melbourne-Canberra,Melbourne,Canberra,Jetstar,Jan-23, 31, 29, 2, 10, 10, 19, 19,34.5,34.5,6.5
Melbourne-Darwin,Melbourne,Darwin,Jetstar,Jan-23, 25, 25, 0, 10, 11, 15, 14,40.0,44.0,0.0
Melbourne-Gold Coast,Melbourne,Gold Coast,Jetstar,Jan-23, 227, 202, 25, 97, 99, 105, 103,48.0,49.0,11.0
Melbourne-Hobart,Melbourne,Hobart,Jetstar,Jan-23, 211, 190, 21, 97, 96, 93, 94,51.1,50.5,10.0
Melbourne-Launceston,Melbourne,Launceston,Jetstar,Jan-23, 148, 135, 13, 79, 77, 56, 58,58.5,57.0,8.8
Melbourne-Newcastle,Melbourne,Newcastle,Jetstar,Jan-23, 60, 59, 1, 39, 36, 20, 23,66.1,61.0,1.7
Melbourne-Perth,Melbourne,Perth,Jetstar,Jan-23, 75, 68, 7, 35, 35, 33, 33,51.5,51.5,9.3
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,Jetstar,Jan-23, 73, 68, 5, 50, 47, 18, 21,73.5,69.1,6.8
Melbourne-Sydney,Melbourne,Sydney,Jetstar,Jan-23, 401, 344, 57, 214, 216, 130, 128,62.2,62.8,14.2
Newcastle-Brisbane,Newcastle,Brisbane,Jetstar,Jan-23, 60, 60, 0, 46, 45, 14, 15,76.7,75.0,0.0
Newcastle-Melbourne,Newcastle,Melbourne,Jetstar,Jan-23, 61, 60, 1, 39, 41, 21, 19,65.0,68.3,1.6
Perth-Adelaide,Perth,Adelaide,Jetstar,Jan-23, 32, 30, 2, 25, 22, 5, 8,83.3,73.3,6.3
Perth-Brisbane,Perth,Brisbane,Jetstar,Jan-23, 25, 23, 2, 13, 12, 10, 11,56.5,52.2,8.0
Perth-Melbourne,Perth,Melbourne,Jetstar,Jan-23, 76, 67, 9, 11, 21, 56, 46,16.4,31.3,11.8
Perth-Sydney,Perth,Sydney,Jetstar,Jan-23, 44, 42, 2, 14, 27, 28, 15,33.3,64.3,4.5
Proserpine-Brisbane,Proserpine,Brisbane,Jetstar,Jan-23, 36, 32, 4, 22, 22, 10, 10,68.8,68.8,11.1
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,Jetstar,Jan-23, 73, 68, 5, 44, 45, 24, 23,64.7,66.2,6.8
Sunshine Coast-Sydney,Sunshine Coast,Sydney,Jetstar,Jan-23, 100, 89, 11, 63, 54, 26, 35,70.8,60.7,11.0
Sydney-Adelaide,Sydney,Adelaide,Jetstar,Jan-23, 121, 109, 12, 83, 87, 26, 22,76.1,79.8,9.9
Sydney-Ballina,Sydney,Ballina,Jetstar,Jan-23, 91, 90, 1, 75, 78, 15, 12,83.3,86.7,1.1
Sydney-Brisbane,Sydney,Brisbane,Jetstar,Jan-23, 171, 145, 26, 91, 96, 54, 49,62.8,66.2,15.2
Sydney-Cairns,Sydney,Cairns,Jetstar,Jan-23, 93, 88, 5, 64, 65, 24, 23,72.7,73.9,5.4
Sydney-Darwin,Sydney,Darwin,Jetstar,Jan-23, 24, 24, 0, 11, 14, 13, 10,45.8,58.3,0.0
Sydney-Gold Coast,Sydney,Gold Coast,Jetstar,Jan-23, 293, 267, 26, 191, 191, 76, 76,71.5,71.5,8.9
Sydney-Hamilton Island,Sydney,Hamilton Island,Jetstar,Jan-23, 26, 26, 0, 13, 15, 13, 11,50.0,57.7,0.0
Sydney-Hobart,Sydney,Hobart,Jetstar,Jan-23, 94, 92, 2, 69, 78, 23, 14,75.0,84.8,2.1
Sydney-Launceston,Sydney,Launceston,Jetstar,Jan-23, 73, 73, 0, 54, 54, 19, 19,74.0,74.0,0.0
Sydney-Melbourne,Sydney,Melbourne,Jetstar,Jan-23, 397, 343, 54, 204, 224, 139, 119,59.5,65.3,13.6
Sydney-Perth,Sydney,Perth,Jetstar,Jan-23, 45, 44, 1, 25, 31, 19, 13,56.8,70.5,2.2
Sydney-Sunshine Coast,Sydney,Sunshine Coast,Jetstar,Jan-23, 100, 90, 10, 71, 68, 19, 22,78.9,75.6,10.0
Townsville-Brisbane,Townsville,Brisbane,Jetstar,Jan-23, 50, 49, 1, 41, 39, 8, 10,83.7,79.6,2.0
All Ports-All Ports,All Ports,All Ports,Jetstar,Jan-23,7 708,7 147, 561,4 526,4 673,2 621,2 474,63.3,65.4,7.3
Adelaide-Brisbane,Adelaide,Brisbane,Qantas,Jan-23, 9, 9, 0, 8, 8, 1, 1,88.9,88.9,0.0
Adelaide-Melbourne,Adelaide,Melbourne,Qantas,Jan-23, 227, 222, 5, 177, 172, 45, 50,79.7,77.5,2.2
Adelaide-Perth,Adelaide,Perth,Qantas,Jan-23, 108, 108, 0, 93, 96, 15, 12,86.1,88.9,0.0
Adelaide-Sydney,Adelaide,Sydney,Qantas,Jan-23, 195, 194, 1, 141, 159, 53, 35,72.7,82.0,0.5
Brisbane-Adelaide,Brisbane,Adelaide,Qantas,Jan-23, 9, 9, 0, 7, 7, 2, 2,77.8,77.8,0.0
Brisbane-Cairns,Brisbane,Cairns,Qantas,Jan-23, 119, 119, 0, 114, 116, 5, 3,95.8,97.5,0.0
Brisbane-Canberra,Brisbane,Canberra,Qantas,Jan-23, 26, 26, 0, 25, 26, 1, 0,96.2,100.0,0.0
Brisbane-Darwin,Brisbane,Darwin,Qantas,Jan-23, 6, 6, 0, 5, 5, 1, 1,83.3,83.3,0.0
Brisbane-Hamilton Island,Brisbane,Hamilton Island,Qantas,Jan-23, 22, 22, 0, 21, 21, 1, 1,95.5,95.5,0.0
Brisbane-Mackay,Brisbane,Mackay,Qantas,Jan-23, 110, 109, 1, 98, 97, 11, 12,89.9,89.0,0.9
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,Jan-23, 337, 332, 5, 287, 271, 45, 61,86.4,81.6,1.5
Brisbane-Mount Isa,Brisbane,Mount Isa,Qantas,Jan-23, 25, 25, 0, 25, 25, 0, 0,100.0,100.0,0.0
Brisbane-Perth,Brisbane,Perth,Qantas,Jan-23, 168, 167, 1, 137, 140, 30, 27,82.0,83.8,0.6
Brisbane-Sydney,Brisbane,Sydney,Qantas,Jan-23, 443, 429, 14, 367, 357, 62, 72,85.5,83.2,3.2
Brisbane-Townsville,Brisbane,Townsville,Qantas,Jan-23, 102, 102, 0, 92, 95, 10, 7,90.2,93.1,0.0
Cairns-Brisbane,Cairns,Brisbane,Qantas,Jan-23, 118, 118, 0, 112, 111, 6, 7,94.9,94.1,0.0
Cairns-Melbourne,Cairns,Melbourne,Qantas,Jan-23, 42, 42, 0, 36, 36, 6, 6,85.7,85.7,0.0
